FATALITY_YEAR,FATALITY_MONTH,count
1961,Apr,3
1961,Dec,1
1961,Jun,1
1961,Mar,7
1962,Apr,5
1962,Dec,2
1962,Feb,12
1962,Jan,3
1962,Jul,6
1962,Jun,3
1962,May,3
1962,Nov,4
1962,Oct,11
1963,Apr,3
1963,Aug,10
1963,Dec,21
1963,Feb,8
1963,Jan,14
1963,Jul,7
1963,Jun,5
1963,Mar,6
1963,May,6
1963,Nov,5
1963,Oct,22
1963,Sep,2
1964,Apr,11
1964,Aug,16
1964,Dec,27
1964,Feb,11
1964,Jan,12
1964,Jul,17
1964,Jun,14
1964,Mar,16
1964,May,15
1964,Nov,17
1964,Oct,26
1964,Sep,4
1965,Apr,39
1965,Aug,110
1965,Dec,279
1965,Feb,49
1965,Jan,18
1965,Jul,95
1965,Jun,116
1965,Mar,18
1965,May,79
1965,Nov,501
1965,Oct,203
1965,Sep,133
1966,Apr,368
1966,Aug,458
1966,Dec,486
1966,Feb,463
1966,Jan,334
1966,Jul,513
1966,Jun,559
1966,Mar,536
1966,May,528
1966,Nov,600
1966,Oct,461
1966,Sep,486
1967,Apr,804
1967,Aug,630
1967,Dec,919
1967,Feb,722
1967,Jan,574
1967,Jul,1003
1967,Jun,892
1967,Mar,1056
1967,May,1345
1967,Nov,991
1967,Oct,876
1967,Sep,872
1968,Apr,1486
1968,Aug,1170
1968,Dec,876
1968,Feb,2214
1968,Jan,1250
1968,Jul,989
1968,Jun,1273
1968,Mar,1679
1968,May,2264
1968,Nov,827
1968,Oct,787
1968,Sep,1203
1969,Apr,987
1969,Aug,939
1969,Dec,481
1969,Feb,1232
1969,Jan,894
1969,Jul,774
1969,Jun,1221
1969,Mar,1446
1969,May,1376
1969,Nov,596
1969,Oct,560
1969,Sep,636
1970,Apr,648
1970,Aug,435
1970,Dec,286
1970,Feb,536
1970,Jan,451
1970,Jul,494
1970,Jun,525
1970,Mar,631
1970,May,893
1970,Nov,287
1970,Oct,305
1970,Sep,353
1971,Apr,299
1971,Aug,112
1971,Dec,47
1971,Feb,340
1971,Jan,224
1971,Jul,113
1971,Jun,169
1971,Mar,361
1971,May,187
1971,Nov,108
1971,Oct,112
1971,Sep,127
1972,Apr,66
1972,Aug,20
1972,Dec,21
1972,Feb,40
1972,Jan,42
1972,Jul,49
1972,Jun,68
1972,Mar,45
1972,May,71
1972,Nov,8
1972,Oct,50
1972,Sep,18
1973,Apr,1
1973,Aug,2
1973,Dec,3
1973,Feb,5
1973,Jan,15
1973,Jul,1
1973,Jun,5
1973,Mar,1
1973,May,1
1973,Sep,1
1975,Apr,11
1975,May,5
