DEPLOYMENT_PROVINCE,1967,1968,1969,1970,1971,1972,1973
An Giang,223,270,393,159,55,15,2
Bình Dương,656,941,788,225,42,11,0
Bình Định,692,462,364,467,149,10,0
Bạc Liêu,0,2,2,6,2,0,0
Bến Tre,93,243,176,66,14,4,0
Cà Mau,3,1,8,6,7,6,0
Cần Thơ,2,82,25,18,7,3,1
Gia Lai,268,242,296,127,37,31,0
Hậu Giang,3,5,14,5,1,0,0
Hồ Chí Minh,130,712,120,31,24,8,2
Khánh Hòa,112,180,289,255,61,10,0
Kiên Giang,4,4,18,20,24,4,0
Kon Tum,606,488,370,55,26,14,0
Long An,518,1173,694,113,38,4,0
Lâm Đồng,497,1190,1025,785,555,21,0
Ninh Thuận,6,18,19,28,17,5,0
Phú Yên,75,88,43,39,20,4,0
Quảng Nam,446,921,730,501,289,33,1
Quảng Ninh,3,90,39,27,3,0,0
Thái Nguyên,2,12,7,21,5,5,0
Thừa Thiên Huế,10,1280,565,627,248,23,0
Tiền Giang,128,385,244,24,7,17,0
Tuyên Quang,0,0,0,1,0,0,0
Tây Ninh,494,708,923,379,41,6,0
UNKNOWN,848,145,166,470,119,22,3
Vĩnh Long,4,50,36,18,26,1,0
Yên Bái,61,61,94,66,8,1,1
Đắk Lắk,28,88,19,14,10,0,0
Đồng Nai,224,339,241,147,75,76,0
Đồng Tháp,86,83,220,136,96,8,0
